,Fall_Allegheny_1,Fall_Allegheny_2,Fall_Allegheny_3,Fall_Braddock_1,Fall_Braddock_2,Fall_Braddock_3,Fall_Control_1,Fall_Control_2,Fall_Control_3,Fall_Monongahela_1,Fall_Monongahela_2,Fall_Monongahela_3,Fall_Neville_1,Fall_Neville_2,Fall_Neville_3,Fall_Sharpsburg_1,Fall_Sharpsburg_2,Fall_Sharpsburg_3,Fall_Sharpsburg_4,Spring_Braddock_1,Spring_Braddock_2,Spring_Control_1,Spring_Monongahela_1,Spring_Monongahela_2,Spring_Neville_1,Spring_Sharpsburg_1,Summer_Allegheny_1,Summer_Braddock_1,Summer_Braddock_2,Summer_Monongahela_1,Summer_Neville_1,Summer_Neville_2,Summer_Sharpsburg_1,Summer_Sharpsburg_2,Winter_Allegheny_2,Winter_Allegheny_3,Winter_Braddock_1,Winter_Braddock_2,Winter_Braddock_3,Winter_Control_2,Winter_Monongahela_1,Winter_Monongahela_2,Winter_Monongahela_3,Winter_Neville_1,Winter_Neville_2,Winter_Neville_3,Winter_Sharpsburg_1,Winter_Sharpsburg_2,Winter_Sharpsburg_3,
Fall_Allegheny_1,0,0.42500000000000004,0.4325,0.5425,0.49250000000000005,0.5575,0.7575000000000001,0.8425,0.8225,0.55,0.6074999999999999,0.595,0.38249999999999995,0.42000000000000004,0.4175,0.42500000000000004,0.5,0.45499999999999996,0.48750000000000004,0.97,0.97,0.99,0.9625,0.9725,0.96,0.95,0.9299999999999999,0.885,0.9299999999999999,0.9025,0.87,0.9325,0.915,0.92,0.975,0.9725,0.9725,0.97,0.9675,0.97,0.97,0.9725,0.9625,0.9675,0.9675,0.97,0.9825,0.9725,0.9725,
Fall_Allegheny_2,0.42500000000000004,0,0.4075,0.5549999999999999,0.5225,0.54,0.75,0.8525,0.8275,0.5775,0.5925,0.5825,0.355,0.42000000000000004,0.485,0.43000000000000005,0.44499999999999995,0.41000000000000003,0.43000000000000005,0.9475,0.9375,0.9675,0.935,0.9425,0.9225,0.9425,0.8825000000000001,0.87,0.915,0.8725,0.8625,0.9299999999999999,0.8925,0.8825000000000001,0.945,0.95,0.99,0.9475,0.945,0.99,0.965,0.95,0.94,0.95,0.9425,0.9475,0.9925,0.96,0.96,
Fall_Allegheny_3,0.4325,0.4075,0,0.6325000000000001,0.5925,0.6525000000000001,0.8025,0.87,0.825,0.6799999999999999,0.6925,0.6725,0.40249999999999997,0.4625,0.47250000000000003,0.4625,0.43999999999999995,0.4275,0.4375,0.97,0.965,0.99,0.96,0.9675,0.9475,0.9525,0.9225,0.9,0.9225,0.9,0.9,0.9375,0.91,0.9075,0.975,0.98,0.98,0.9775,0.975,0.98,0.9775,0.98,0.97,0.975,0.9725,0.9775,0.9825,0.98,0.98,
Fall_Braddock_1,0.5425,0.5549999999999999,0.6325000000000001,0,0.2925,0.41500000000000004,0.8275,0.8625,0.8225,0.4325,0.4475,0.4225,0.5800000000000001,0.6325000000000001,0.62,0.5800000000000001,0.6,0.595,0.62,0.945,0.9425,0.98,0.94,0.9375,0.925,0.9425,0.8975,0.8525,0.895,0.86,0.8375,0.915,0.8925,0.8875,0.9525,0.9575,0.975,0.955,0.9525,0.975,0.955,0.9575,0.9475,0.9525,0.95,0.955,0.9775,0.9575,0.96,
Fall_Braddock_2,0.49250000000000005,0.5225,0.5925,0.2925,0,0.35250000000000004,0.785,0.845,0.7925,0.42500000000000004,0.38,0.39,0.575,0.5325,0.5549999999999999,0.575,0.5375,0.585,0.5625,0.9525,0.95,0.9875,0.945,0.945,0.9299999999999999,0.9475,0.9025,0.86,0.9025,0.87,0.84,0.92,0.895,0.895,0.9625,0.965,0.975,0.9625,0.96,0.9775,0.9625,0.965,0.955,0.96,0.9575,0.9625,0.98,0.965,0.9675,
Fall_Braddock_3,0.5575,0.54,0.6525000000000001,0.41500000000000004,0.35250000000000004,0,0.815,0.845,0.835,0.43999999999999995,0.47750000000000004,0.43000000000000005,0.5800000000000001,0.6025,0.6375,0.5825,0.585,0.585,0.605,0.9475,0.94,0.9775,0.945,0.9425,0.9325,0.955,0.8875,0.8525,0.8825000000000001,0.855,0.84,0.9225,0.9075,0.9,0.955,0.955,0.9825,0.9525,0.95,0.9875,0.9525,0.955,0.95,0.9525,0.9525,0.9525,0.99,0.9575,0.9625,
Fall_Control_1,0.7575000000000001,0.75,0.8025,0.8275,0.785,0.815,0,0.5925,0.5075000000000001,0.7725,0.8049999999999999,0.8175,0.76,0.765,0.7075,0.7775,0.7775,0.78,0.7424999999999999,0.985,0.985,0.9925,0.98,0.98,0.975,0.9775,0.9675,0.9475,0.96,0.9575,0.9525,0.96,0.955,0.9625,0.9875,0.9925,0.995,0.99,0.9875,0.995,0.9925,0.9925,0.9825,0.9875,0.985,0.99,0.995,0.9925,0.9925,
Fall_Control_2,0.8425,0.8525,0.87,0.8625,0.845,0.845,0.5925,0,0.525,0.795,0.8325,0.835,0.83,0.8674999999999999,0.83,0.845,0.8475,0.8625,0.8125,0.99,0.99,0.995,0.985,0.985,0.9825,0.985,0.96,0.9525,0.9625,0.955,0.9525,0.9725,0.95,0.9625,0.99,0.995,0.995,0.9925,0.99,0.99,0.9925,0.995,0.9875,0.99,0.99,0.9925,0.995,0.995,0.995,
Fall_Control_3,0.8225,0.8275,0.825,0.8225,0.7925,0.835,0.5075000000000001,0.525,0,0.7525,0.74,0.7675,0.8200000000000001,0.8075,0.795,0.8575,0.8075,0.8674999999999999,0.8075,0.985,0.985,0.99,0.975,0.98,0.9725,0.9725,0.945,0.935,0.95,0.935,0.935,0.9625,0.9425,0.9425,0.985,0.99,0.99,0.9875,0.985,0.99,0.9875,0.99,0.98,0.985,0.9825,0.9875,0.9925,0.99,0.99,
Fall_Monongahela_1,0.55,0.5775,0.6799999999999999,0.4325,0.42500000000000004,0.43999999999999995,0.7725,0.795,0.7525,0,0.29000000000000004,0.3175,0.5800000000000001,0.61,0.5549999999999999,0.595,0.625,0.6125,0.6375,0.9825,0.985,0.99,0.985,0.9775,0.9825,0.985,0.925,0.8975,0.935,0.9075,0.8775,0.965,0.945,0.94,0.985,0.99,0.99,0.9875,0.985,0.99,0.9875,0.99,0.9875,0.9875,0.99,0.9875,0.9925,0.99,0.99,
